Date,Open,High,Low,Close,Volume,Company
2024-04-20,16.6,16.7,16.6,16.6,344543.0,SINGER (SRI LANKA) PLC
2024-04-21,16.6,16.7,16.6,16.6,344543.0,SINGER (SRI LANKA) PLC
2024-04-22,16.6,16.9,16.6,16.8,78239.0,SINGER (SRI LANKA) PLC
2024-04-24,16.8,18.3,16.6,17.5,3164788.0,SINGER (SRI LANKA) PLC
2024-04-26,19.0,19.3,18.7,18.8,502151.0,SINGER (SRI LANKA) PLC
2024-04-27,19.0,19.3,18.7,18.8,502151.0,SINGER (SRI LANKA) PLC
2024-04-28,19.0,19.3,18.7,18.8,502151.0,SINGER (SRI LANKA) PLC
2024-04-29,18.8,19.4,18.7,19.3,1301194.0,SINGER (SRI LANKA) PLC
2024-04-30,19.4,19.5,19.0,19.3,951699.0,SINGER (SRI LANKA) PLC
2024-05-02,19.4,19.5,19.1,19.1,538447.0,SINGER (SRI LANKA) PLC
2024-05-03,19.0,20.2,19.0,19.9,3210127.0,SINGER (SRI LANKA) PLC
2024-05-04,19.0,20.2,19.0,19.9,3210127.0,SINGER (SRI LANKA) PLC
2024-05-05,19.0,20.2,19.0,19.9,3210127.0,SINGER (SRI LANKA) PLC
2024-05-06,20.0,20.3,19.5,19.6,189114.0,SINGER (SRI LANKA) PLC
2024-05-07,19.9,19.9,19.0,19.2,371089.0,SINGER (SRI LANKA) PLC
2024-05-08,19.4,19.5,18.7,18.9,192076.0,SINGER (SRI LANKA) PLC
2024-05-09,18.9,18.9,18.6,18.8,72937.0,SINGER (SRI LANKA) PLC
2024-05-10,18.4,18.4,17.6,17.8,1354362.0,SINGER (SRI LANKA) PLC
2024-05-11,18.4,18.4,17.6,17.8,1354362.0,SINGER (SRI LANKA) PLC
2024-05-12,18.4,18.4,17.6,17.8,1354362.0,SINGER (SRI LANKA) PLC
2024-05-13,17.7,18.0,17.6,17.6,74396.0,SINGER (SRI LANKA) PLC
2024-05-14,17.8,17.8,17.3,17.3,69755.0,SINGER (SRI LANKA) PLC
2024-05-15,17.6,17.6,16.9,17.0,200083.0,SINGER (SRI LANKA) PLC
2024-05-16,17.0,17.3,16.6,16.6,99826.0,SINGER (SRI LANKA) PLC
2024-05-17,16.9,17.5,16.5,17.2,100304.0,SINGER (SRI LANKA) PLC
2024-05-18,16.9,17.5,16.5,17.2,100304.0,SINGER (SRI LANKA) PLC
2024-05-19,16.9,17.5,16.5,17.2,100304.0,SINGER (SRI LANKA) PLC
2024-05-20,17.4,17.5,16.0,17.0,62570.0,SINGER (SRI LANKA) PLC
2024-05-21,16.4,17.2,16.1,17.1,63617.0,SINGER (SRI LANKA) PLC
2024-05-22,17.1,17.2,16.9,17.0,722404.0,SINGER (SRI LANKA) PLC
2024-05-23,17.1,17.2,16.9,17.0,722404.0,SINGER (SRI LANKA) PLC
2024-05-24,17.1,17.2,16.9,17.0,722404.0,SINGER (SRI LANKA) PLC
2024-05-26,17.1,17.2,16.9,17.0,722404.0,SINGER (SRI LANKA) PLC
2024-05-27,16.8,17.2,16.8,17.0,24082.0,SINGER (SRI LANKA) PLC
2024-05-28,16.9,16.9,16.4,16.7,108233.0,SINGER (SRI LANKA) PLC
2024-05-29,16.6,16.7,16.4,16.6,41812.0,SINGER (SRI LANKA) PLC
2024-05-30,16.4,16.5,16.3,16.4,89253.0,SINGER (SRI LANKA) PLC
2024-05-31,16.3,16.6,16.1,16.2,46674.0,SINGER (SRI LANKA) PLC
2024-06-01,16.3,16.6,16.1,16.2,46674.0,SINGER (SRI LANKA) PLC
2024-06-02,16.3,16.6,16.1,16.2,46674.0,SINGER (SRI LANKA) PLC
2024-06-03,16.1,16.4,15.9,16.3,11680.0,SINGER (SRI LANKA) PLC
2024-06-04,16.2,17.0,16.2,16.6,369618.0,SINGER (SRI LANKA) PLC
2024-06-05,16.7,17.2,16.7,16.9,301856.0,SINGER (SRI LANKA) PLC
2024-06-06,17.3,17.4,16.8,17.2,222883.0,SINGER (SRI LANKA) PLC
2024-06-07,17.4,17.4,17.0,17.0,453590.0,SINGER (SRI LANKA) PLC
2024-06-08,17.4,17.4,17.0,17.0,453590.0,SINGER (SRI LANKA) PLC
2024-06-09,17.4,17.4,17.0,17.0,453590.0,SINGER (SRI LANKA) PLC
2024-06-10,17.2,17.2,16.7,16.7,269766.0,SINGER (SRI LANKA) PLC
2024-06-11,16.8,17.5,16.6,17.2,695745.0,SINGER (SRI LANKA) PLC
2024-06-12,17.1,17.1,16.8,17.0,53700.0,SINGER (SRI LANKA) PLC
2024-06-13,16.9,17.0,16.8,17.0,198371.0,SINGER (SRI LANKA) PLC
2024-06-14,17.0,17.0,16.8,16.8,119252.0,SINGER (SRI LANKA) PLC
2024-06-15,17.0,17.0,16.8,16.8,119252.0,SINGER (SRI LANKA) PLC
2024-06-16,17.0,17.0,16.8,16.8,119252.0,SINGER (SRI LANKA) PLC
2024-06-17,17.0,17.0,16.8,16.8,119252.0,SINGER (SRI LANKA) PLC
2024-06-18,16.8,16.9,16.1,16.2,174978.0,SINGER (SRI LANKA) PLC
2024-06-19,16.5,16.6,16.1,16.1,20988.0,SINGER (SRI LANKA) PLC
2024-06-20,16.4,16.6,16.2,16.2,41902.0,SINGER (SRI LANKA) PLC
2024-06-21,16.4,16.6,16.2,16.2,41902.0,SINGER (SRI LANKA) PLC
2024-06-22,16.4,16.6,16.2,16.2,41902.0,SINGER (SRI LANKA) PLC
2024-06-23,16.4,16.6,16.2,16.2,41902.0,SINGER (SRI LANKA) PLC
2024-06-24,16.6,16.6,16.2,16.3,64439.0,SINGER (SRI LANKA) PLC
2024-06-25,16.2,16.3,16.2,16.2,75370.0,SINGER (SRI LANKA) PLC
2024-06-26,16.1,16.3,16.1,16.2,12589.0,SINGER (SRI LANKA) PLC
2024-06-27,16.2,16.4,15.9,15.9,57209.0,SINGER (SRI LANKA) PLC
2024-06-28,16.0,16.3,15.9,16.0,365468.0,SINGER (SRI LANKA) PLC
2024-06-29,16.0,16.3,15.9,16.0,365468.0,SINGER (SRI LANKA) PLC
2024-06-30,16.0,16.3,15.9,16.0,365468.0,SINGER (SRI LANKA) PLC
2024-07-01,16.0,16.6,15.9,16.0,91406.0,SINGER (SRI LANKA) PLC
2024-07-02,16.0,16.5,15.9,16.0,33138.0,SINGER (SRI LANKA) PLC
2024-07-03,16.0,16.4,15.9,15.9,21322.0,SINGER (SRI LANKA) PLC
2024-07-04,15.8,16.0,15.3,15.9,69283.0,SINGER (SRI LANKA) PLC
2024-07-05,15.7,15.7,15.3,15.5,76773.0,SINGER (SRI LANKA) PLC
2024-07-07,15.7,15.7,15.3,15.5,76773.0,SINGER (SRI LANKA) PLC
2024-07-08,15.7,15.7,15.2,15.3,38981.0,SINGER (SRI LANKA) PLC
2024-07-09,15.5,15.5,15.3,15.4,121451.0,SINGER (SRI LANKA) PLC
2024-07-10,15.2,15.4,15.1,15.3,23539.0,SINGER (SRI LANKA) PLC
2024-07-11,15.4,15.5,15.2,15.3,55961.0,SINGER (SRI LANKA) PLC
2024-07-12,15.2,15.5,15.1,15.3,32249.0,SINGER (SRI LANKA) PLC
2024-07-13,15.2,15.5,15.1,15.3,32249.0,SINGER (SRI LANKA) PLC
2024-07-14,15.2,15.5,15.1,15.3,32249.0,SINGER (SRI LANKA) PLC
2024-07-15,15.9,16.0,15.2,15.8,113940.0,SINGER (SRI LANKA) PLC
2024-07-16,15.9,15.9,15.5,15.6,38035.0,SINGER (SRI LANKA) PLC
